Temperature,Vibration,Pressure,Humidity,Operating_Hours,Machine_Age,Failure
72,2.1,101.2,45,1200,2,0
75,2.4,100.8,48,1350,3,0
78,2.8,100.5,52,1500,3,0
82,3.5,99.8,55,1800,4,1
85,4.1,99.2,60,2100,5,1
70,1.9,101.5,42,900,1,0
73,2.2,101.1,46,1100,2,0
79,3.0,100.3,51,1600,3,0
88,4.8,98.7,64,2300,5,1
91,5.2,98.1,68,2500,6,1
68,1.7,101.8,40,700,1,0
71,2.0,101.4,44,950,2,0
76,2.6,100.9,49,1250,2,0
81,3.3,100.1,54,1700,4,1
86,4.5,99.0,62,2200,5,1
69,1.8,101.7,41,800,1,0
74,2.3,101.0,47,1150,2,0
77,2.7,100.6,50,1400,3,0
83,3.8,99.6,57,1900,4,1
89,4.9,98.5,66,2400,6,1
67,1.6,102.0,39,650,1,0
72,2.1,101.3,43,1000,2,0
78,2.9,100.4,50,1450,3,0
84,4.0,99.4,58,2000,5,1
90,5.0,98.3,65,2450,6,1
70,1.9,101.6,44,850,1,0
75,2.5,100.9,48,1300,2,0
80,3.1,100.2,53,1550,3,0
87,4.6,98.9,61,2150,5,1
92,5.5,97.8,70,2700,7,1
66,1.5,102.1,38,600,1,0
73,2.2,101.2,45,1050,2,0
79,2.8,100.7,51,1350,3,0
82,3.6,99.9,56,1750,4,1
88,4.7,98.6,63,2250,5,1
68,1.7,101.9,41,750,1,0
76,2.6,100.8,49,1200,2,0
81,3.2,100.0,54,1650,4,0
85,4.2,99.1,59,2050,5,1
93,5.7,97.5,72,2800,7,1
69,1.8,101.5,43,880,1,0
74,2.4,101.0,46,1180,2,0
77,2.9,100.5,50,1420,3,0
83,3.7,99.7,55,1850,4,1
90,5.1,98.2,67,2550,6,1
65,1.4,102.2,37,550,1,0
71,2.0,101.6,42,920,2,0
78,2.7,100.6,48,1280,2,0
84,4.1,99.5,57,1950,4,1
89,4.8,98.8,64,2350,6,1
67,1.6,102.0,40,680,1,0
75,2.3,101.1,47,1120,2,0
80,3.0,100.3,52,1500,3,0
86,4.4,99.0,60,2100,5,1
91,5.3,97.9,69,2600,7,1
70,1.9,101.7,41,780,1,0
73,2.1,101.4,45,1080,2,0
79,2.8,100.7,50,1380,3,0
82,3.5,99.9,56,1720,4,1
87,4.5,98.7,62,2180,5,1
66,1.5,102.3,39,620,1,0
72,2.2,101.2,44,1020,2,0
76,2.5,100.9,48,1260,2,0
85,4.0,99.3,58,1980,5,1
92,5.6,97.6,71,2750,7,1
69,1.7,101.8,42,830,1,0
74,2.4,101.0,46,1170,2,0
81,3.1,100.1,53,1580,3,0
83,3.9,99.6,57,1880,4,1
90,5.0,98.4,66,2480,6,1
68,1.6,102.1,40,720,1,0
77,2.7,100.5,49,1320,3,0
80,3.3,100.0,52,1600,4,0
86,4.3,99.2,59,2050,5,1
94,5.8,97.3,73,2900,8,1
67,1.5,102.2,38,580,1,0
71,2.1,101.5,43,980,2,0
78,2.6,100.8,49,1400,3,0
84,3.8,99.5,55,1820,4,1
88,4.9,98.5,64,2380,6,1
70,1.8,101.9,41,760,1,0
75,2.5,101.0,47,1150,2,0
79,2.9,100.4,51,1450,3,0
85,4.2,99.0,58,2020,5,1
91,5.4,97.8,68,2650,7,1
66,1.4,102.4,37,500,1,0
73,2.0,101.3,44,1060,2,0
76,2.8,100.6,48,1300,3,0
82,3.6,99.8,54,1760,4,1
89,4.7,98.6,63,2320,6,1
69,1.7,101.7,40,810,1,0
74,2.3,101.1,46,1200,2,0
80,3.0,100.2,52,1520,3,0
87,4.5,98.9,61,2200,5,1
93,5.6,97.4,71,2850,8,1
